id,label,degree,community,followersCount,klout_score,pageranks,eigencentrality,x,y,z
748,MarkHudson3502,3,11,327.0,44.0,0.000197490094801,0.0322776756467,-272.143738,232.277283,249.897125
749,SandyEVetmom,6,0,597.0,45.0,0.000347480643929,0.189576219336,466.245026,-310.54422,-264.004913
752,america_trump,16,0,5729.0,61.0,0.000344596993343,0.253277915104,292.741516,-339.955261,-177.349792
755,ramburner1,8,1,1484.0,55.0,0.000204638258474,0.0240078127792,-224.815582,1025.703369,114.70668
759,NRO,42,1,156708.0,93.0,0.000163376872339,0.0,-409.115845,694.625244,163.466385
760,Rocket_Fire362,4,1,32.0,25.0,0.000197045627714,0.0132300169092,-371.545349,797.298523,188.168854
761,AV8RCC,3,2,0.0,0.0,0.000163376872339,0.0,-621.746216,1093.651611,-170.462799
763,DonaldTrumpWall,5,0,38464.0,60.0,0.000163857394752,0.0022679712307,369.891296,-424.440033,12.505437
764,danky58,11,0,352.0,43.0,0.000366055840006,0.221316907692,352.531708,-349.163086,-64.716583
765,CarolChupp,13,6,366.0,46.0,0.000815555238801,0.171673063854,306.858063,529.03363,370.118652
766,ChapmanNancy,25,3,2167.0,55.0,0.000171592156303,0.00999274596746,318.100647,-208.228592,-209.477905
767,Missy_Kidd,6,3,1070.0,55.0,0.000216772183217,0.0359316908728,531.29657,-161.736298,-405.616943
768,kldreams61,12,3,1074.0,49.0,0.000522220649378,0.103084255275,533.637268,-201.315353,-298.444275
769,blessmyliberty,5,9,1766.0,56.0,0.000163376872339,0.0,482.55542,-153.006729,-659.948547
770,roseserao,5,11,27.0,14.0,0.000322057832474,0.0887806337489,-616.185669,663.11676,280.895538
771,rjber15,4,7,92.0,33.0,0.000219137771173,0.0144524327802,-1028.458618,-276.91153,1311.56604
773,AlexYoder,26,1,0.0,0.0,0.000163376872339,0.0,-305.359436,1109.163696,161.566437
774,Jerrylwolf,4,1,117.0,42.0,0.000173841118246,0.0109620456785,-357.950348,956.466492,241.349289
776,NC4TedCruz2016,5,1,0.0,0.0,0.000163376872339,0.0,-523.900879,1065.724243,-26.239511
780,TheresaMechele,17,0,0.0,0.0,0.000163376872339,0.0,480.169769,-114.12252,-55.209194
781,lulujoy6101,12,0,2562.0,54.0,0.00042972087092,0.249732584329,303.808289,-198.884659,-131.762268
782,CJCboi,13,0,1946.0,62.0,0.000701802517566,0.26514277308,296.693176,-339.598389,-402.273682
783,Kgough257,3,1,23.0,13.0,0.000228244236771,0.00680391369211,-466.026978,927.230225,119.063545
784,erica4ou,7,3,858.0,52.0,0.00017243741034,0.283430644531,42.701122,-225.183472,-229.883896
787,tlfiegen,13,7,2959.0,59.0,0.000215979515284,0.00453594246141,-1225.269409,-250.697769,1450.912231
788,JonathanPtrck,5,7,452.0,50.0,0.000246102247122,0.0606555466184,-1180.797119,-270.910889,1473.296875
790,baj5252,8,1,974.0,50.0,0.00060228823167,0.144058489047,-376.038849,957.008484,-182.681595
793,pdanielson92056,5,11,4052.0,51.0,0.000928455684913,0.030312047784,-880.734741,635.956177,310.804169
794,SharNeal,9,3,6299.0,62.0,0.000258076968762,0.164930054979,337.545105,28.687569,-182.883087
795,xlaurenstephens,34,0,4774.0,60.0,0.000349114220994,0.195523403411,45.34058,-213.260757,-190.053757
796,SueSabo,11,0,1516.0,52.0,0.000224515383938,0.231285525453,317.855347,-288.724487,-216.051865
797,OneNation4Ben,5,10,0.0,0.0,0.000163376872339,0.0,-336.765472,563.760498,844.96283
799,Ender316,3,1,1414.0,53.0,0.000252633268074,0.0373871884522,-282.860931,901.441528,-260.030396
800,greta,12,8,0.0,0.0,0.000163376872339,0.0,-14.802651,94.388931,218.92569
801,Billright50,18,3,3243.0,62.0,0.000199610510899,0.15601650472,248.760635,-83.746284,-120.415245
802,MarciaCM1,7,11,811.0,51.0,0.000331761930593,0.0306369841634,-758.390686,614.261719,306.078522
805,CarrieWelborn,10,3,1419.0,49.0,0.000283075643123,0.095212971331,334.597839,-66.528687,-315.860657
806,coffey_arthur,14,0,514.0,42.0,0.000625004742786,0.523003532134,297.610535,-297.097595,9.639343
808,LegendaryTrump,15,0,6248.0,54.0,0.000165617635049,0.00960975714946,280.602905,-495.31488,-184.832993
809,Diane400,13,0,2149.0,47.0,0.000297035169377,0.21420819054,129.489288,-274.075928,-156.649063
812,Eric32801,11,0,0.0,0.0,0.000163376872339,0.0,524.575134,-292.04303,-299.08316
813,PastorOmayra,10,0,297.0,42.0,0.000244681419238,0.268158519136,404.254303,-279.267029,-220.873596
815,sharonDay5,8,0,3329.0,54.0,0.000215527150766,0.112655114952,129.900513,-275.93515,-121.457794
819,LynnMoo37618860,10,3,577.0,50.0,0.000569920071217,0.387691040595,95.403038,-107.152359,158.408035
821,Lynn_Rose1,6,1,92.0,41.0,0.000261747084838,0.02467496956,-392.622314,1078.689087,153.839722
822,ritzy_jewels,17,3,26433.0,70.0,0.000165665495819,0.0277417331853,-8.847198,317.074951,-226.650848
823,FriendlyJMC,6,3,31.0,40.0,0.000334814293046,0.134965863166,288.529938,-144.613342,-216.0858
825,peddoc63,31,1,102128.0,73.0,0.000163376872339,0.0,-159.572479,678.828308,-121.7752
826,Blackdi51264299,13,1,4439.0,55.0,0.000591671839058,0.188170505497,-249.701584,962.104736,-62.063705
827,rushbaby12,4,1,1387.0,28.0,0.00019455307171,0.0132300169092,-319.800659,1016.719543,198.17012
828,Women4Bernie,14,7,19438.0,67.0,0.000190825852995,0.0172038990871,-1108.787964,-320.834198,1418.43457
829,BlkGirls4Bernie,12,7,659.0,49.0,0.000841926966959,0.111166593569,-1158.665283,-339.031342,1373.57251
832,CrusaderforCruz,15,1,369.0,53.0,0.000163376872339,0.0,-321.391815,856.813477,-144.947525
835,SmokinSam420,3,0,472.0,51.0,0.000198122446234,0.0791421491905,336.442932,-319.571014,-144.413528
836,realTeamTrump,6,3,211.0,41.0,0.000429591446707,0.253805644761,200.195084,-375.424316,-49.694775
839,armpp10044,3,9,0.0,0.0,0.000163376872339,0.0,398.222015,-57.33131,-520.871155
840,TrammellLt,3,1,2508.0,51.0,0.000323256397312,0.0341816154845,-217.489563,580.848206,-105.366699
841,GCDUNHAM1,6,1,0.0,0.0,0.000163376872339,0.0,-325.711426,1141.820557,-120.519173
842,GaetaSusan,15,1,32824.0,69.0,0.000173161421277,0.0131065858192,28.045891,478.434662,-196.158813
845,BerniesHomie,37,7,23075.0,69.0,0.000163376872339,0.0,-1071.616699,-337.992676,1303.736084
846,Gsantollo,5,7,182.0,43.0,0.000210781837024,0.0386982447799,-1149.36377,-338.679504,1290.859497
848,DrivaJane,6,0,95.0,36.0,0.000193708329656,0.0435738745658,313.317841,-375.963257,-189.510666
849,woodseysmith,19,0,1982.0,55.0,0.000595467160686,0.411615437534,208.945374,-266.16098,81.543427
850,star7mj,3,1,351.0,22.0,0.000232300689423,0.0649494490638,-343.967255,707.817871,-43.202953
851,1200CreativeInn,7,11,290.0,47.0,0.000289718431342,0.0441216485604,-254.312546,333.753723,147.809128
852,Trias_Betrayed,3,3,250.0,42.0,0.000266662636451,0.158706809198,185.124222,-179.715332,-621.72113
853,WRGalivan3,3,11,1745.0,51.0,0.000186295338974,0.00818995768756,-761.522156,658.186035,281.565643
855,DavidPSawyer,16,1,2418.0,61.0,0.000183215583393,0.0022679712307,-412.233307,1086.008057,128.352478
856,DJGreenwald,10,1,4105.0,59.0,0.00075499133724,0.0626789861902,-452.473877,1065.141113,173.382248
857,newsgirl123456,4,7,1322.0,52.0,0.000229099853695,0.00907188492281,-348.472076,-27.30278,552.836548
858,nhdogmom,7,4,10863.0,65.0,0.000303463905915,0.0112914174872,158.610947,-28.454939,2277.881104
862,LeslieWix,14,3,695.0,49.0,0.000470176979861,0.267924710004,111.520683,-29.776978,-227.147583
863,CarmineZozzora,26,3,142525.0,73.0,0.000179082434836,0.135479474547,165.143539,-170.483948,-436.595428
864,CythWR,4,1,473.0,0.0,0.000305533679681,0.0263551506628,-320.134125,946.094238,-46.32795
866,lynnrooey,7,3,68.0,31.0,0.000263669348484,0.444887464909,-31.045176,5.54449,-115.052124
870,neaner069,5,7,148.0,45.0,0.000353201775561,0.0247650456995,-870.114319,-126.848068,1084.613892
871,HillaryClinton,26,4,5263928.0,93.0,0.000163376872339,0.0,70.487389,-4.578979,1834.1073
