source,target,weight
624,558,2.000000
72,1924,2.000000
1926,1927,2.000000
111,1928,2.000000
456,140,2.000000
122,1515,2.000000
1179,1938,2.000000
1942,1943,2.000000
1945,1946,2.000000
1948,168,2.000000
13,1957,2.000000
321,369,2.000000
1959,1960,2.000000
659,1961,2.000000
139,1962,2.000000
1429,1963,2.000000
91,1964,2.000000
765,1914,2.000000
88,1965,2.000000
160,1972,2.000000
284,1975,2.000000
465,1977,2.000000
213,1694,2.000000
88,1978,2.000000
1981,973,2.000000
1855,258,2.000000
186,1084,2.000000
0,1988,2.000000
32,1989,2.000000
1355,1990,2.000000
34,200,2.000000
547,1991,2.000000
187,1226,2.000000
139,1994,2.000000
122,1580,2.000000
1398,1997,2.000000
697,1998,2.000000
2001,1675,2.000000
25,2002,2.000000
29,2003,2.000000
283,2004,2.000000
2005,1279,2.000000
2006,2007,2.000000
88,92,2.000000
174,1450,2.000000
200,1715,2.000000
2008,1525,2.000000
476,2010,2.000000
169,213,2.000000
553,2013,2.000000
595,2015,2.000000
32,2016,2.000000
932,385,2.000000
170,2020,2.000000
659,2021,2.000000
46,1938,2.000000
400,2024,2.000000
59,2025,2.000000
1248,2029,2.000000
32,2032,2.000000
32,1903,2.000000
1179,126,2.000000
29,127,2.000000
595,59,2.000000
170,2036,2.000000
885,2038,2.000000
32,1881,2.000000
435,666,2.000000
0,2045,2.000000
1179,1963,2.000000
1398,696,2.000000
2048,601,2.000000
624,365,2.000000
29,2053,2.000000
655,1636,2.000000
200,2057,2.000000
474,2060,2.000000
29,2061,2.000000
1174,1135,2.000000
139,623,2.000000
2065,390,2.000000
2066,1938,2.000000
2070,2071,2.000000
53,1938,2.000000
88,214,2.000000
474,2073,2.000000
16,13,2.000000
170,2079,2.000000
1278,187,2.000000
283,2025,2.000000
0,2081,2.000000
122,2082,2.000000
435,724,2.000000
934,2087,2.000000
971,187,2.000000
118,37,2.000000
553,2091,2.000000
1848,202,2.000000
29,2099,2.000000
437,1781,2.000000
29,2101,2.000000
29,2102,2.000000
878,2105,2.000000
170,2108,2.000000
34,1059,2.000000
960,2109,2.000000
283,2110,2.000000
29,2114,2.000000
2115,2116,2.000000
2119,2120,2.000000
127,2121,2.000000
2122,2123,2.000000
4,996,2.000000
213,2130,2.000000
199,86,2.000000
2066,1807,2.000000
32,717,2.000000
2134,365,2.000000
2141,2142,2.000000
29,2148,2.000000
25,601,2.000000
251,2153,2.000000
331,1180,2.000000
2155,2156,2.000000
696,2157,2.000000
199,2057,2.000000
2177,2178,2.000000
29,2180,2.000000
2183,2184,2.000000
474,2189,2.000000
1634,1252,2.000000
697,2192,2.000000
200,1595,2.000000
0,2194,2.000000
1667,1822,2.000000
170,2196,2.000000
