Source,Target,weight
marcorubio,SherredEllen,2.0
jmbse,DrDarrellCline,2.0
BerniesHomie,Pinefeather14,2.0
OnlyTruthReign,WarWomensRights,2.0
Bernlennials,TexasForBernie,2.0
People4Bernie,420Otaku69,2.0
SiCarswell,yclaes623,2.0
BerninForBernie,Say_Non_Now,2.0
TweetingYarnie,ireneberns,2.0
BernieSanders,AndresBS1991,2.0
CallawayBOT,GeorgeKiddJr,2.0
WayneEdH,ljreynolds13,2.0
BerniesHomie,ohiotimmons3,2.0
ND4Bernie,boushdag,2.0
People4Bernie,Wriseup,2.0
BernieSanders,zaroonrkhan,2.0
PatriotByGod,glendabelle_11,2.0
peddoc63,Blackdi51264299,2.0
ernieHHI,A1speaker,2.0
Toddkron,roseserao,2.0
azblonde2015,fcwic1,2.0
BernieSanders,HMGS,2.0
Vets4Santorum,ParisGirl3,2.0
TheTrumpTrain,CarmenCammarat2,2.0
pattonoswalt,onecaliberal,2.0
Libertea2012,ArvelMauldin,2.0
CitzAbroad4Bern,jamesmarie33,2.0
BernieSanders,CyberPlayGround,2.0
azblonde2015,MDavidMorris2,2.0
slone,Junebug1952,2.0
GRForSanders,Finance_Fan,2.0
BioWreck,neaner069,2.0
RyanJKren22,erinschmitt66,2.0
Women4Bernie,KyleTaylorLucas,2.0
MoveOn,PeterCohen17,2.0
MoveOn,4closureNation2,2.0
LindaSuhler,Chandigarh3487,2.0
People4Bernie,NancyGaldeano,2.0
People4Bernie,thelesbernian,2.0
JaredWyand,erica4ou,2.0
DanScavino,DrivaJane,2.0
agfstydahsfhot1,YugeMilo,2.0
DanScavino,DestinyandBruce,2.0
ireneberns,GuenPage,2.0
ND4Bernie,nana_mo_Amelika,2.0
HillaryClinton,AdamSmith_USA,2.0
cann4ing,rosevine3,2.0
asydtahsfbuhot1,YugeTrumpnado,2.0
CorrectRecord,LoriSums,2.0
LegendaryTrump,Diane400,2.0
cordellifornh,Ladies4Santorum,2.0
Women4Bernie,shipman96,2.0
marcorubio,RightForRubio,2.0
tlfiegen,JonathanPtrck,2.0
AidanKing_,BringMeCalliope,2.0
SEAAdams2,Dollfinish,2.0
MoveOn,Original_Maven,2.0
calishrink,SkyNetWatching,2.0
